datetime,sewer_pump,ghx_pump,distribution_pump,ets_pump_1,ets_pump_2,ets_pump_3,ets_hp_1,ets_hp_2,ets_hp_3
2022-01-01 00:00:00,2347.0947,5579.373,29210.568,397.45865,1707.8365,714.28125,5204.1772,4469.1035,8774.33
2022-01-01 01:00:00,2347.0947,5579.373,29210.568,103.65314,1707.8365,129.84529,671.2729,6709.987,894.2639
2022-01-01 02:00:00,2347.0947,5579.373,29210.568,76.94354,1707.8365,76.73643,0.0,6088.856,0.0
2022-01-01 03:00:00,2347.0947,5579.373,29210.568,76.94354,1707.8365,76.73643,0.0,4830.2256,0.0
2022-01-01 04:00:00,2347.0947,5579.373,29210.568,519.1845,1707.8365,675.09576,11082.394,5704.0386,11112.927
2022-01-01 05:00:00,2347.0947,5579.373,29210.568,872.6533,1707.8365,820.68805,22489.334,5319.0317,24646.422
2022-01-01 06:00:00,2347.0947,5579.373,29210.568,548.13403,1707.8365,730.63605,16290.706,5616.5938,19744.463
2022-01-01 07:00:00,2347.0947,5579.373,29210.568,405.39612,1707.8365,714.6718,5575.326,5673.937,8698.878
2022-01-01 08:00:00,2347.0947,5579.373,29210.568,76.89567,1707.8365,554.3061,0.0,5865.0884,21.582237
2022-01-01 09:00:00,2347.0947,5579.373,29210.568,317.32986,1707.8365,660.9339,11.566827,4243.265,1153.9587
2022-01-01 10:00:00,2347.0947,5579.373,29210.568,344.03946,1707.8365,714.0427,12.505428,4166.601,3563.7874
2022-01-01 11:00:00,2347.0947,5579.373,29210.568,83.949394,1707.8365,714.0427,0.0,2098.6917,1256.0265
2022-01-01 12:00:00,2347.0947,5579.373,29210.568,76.83825,1707.8365,547.36475,0.0,1388.4731,35.083923
2022-01-01 13:00:00,2347.0947,5579.373,29210.568,77.94753,1707.8365,76.65286,0.0,1425.542,0.0
2022-01-01 14:00:00,2347.0947,5579.373,29210.568,76.85757,1707.8365,76.66071,0.0,1365.3696,0.0
2022-01-01 15:00:00,2347.0947,5579.373,29210.568,76.94354,1707.8365,660.9339,0.0,1298.5311,186.1197
2022-01-01 16:00:00,2347.0947,5579.373,29210.568,76.94354,1707.8365,714.0427,0.0,2392.521,236.21222
2022-01-01 17:00:00,2347.0947,5579.373,29210.568,488.61096,1707.8365,611.8892,0.0,4459.3745,44.432285
2022-01-01 18:00:00,2347.0947,5579.373,29210.568,76.93534,1707.8365,76.631996,0.0,6893.2915,0.0
2022-01-01 19:00:00,2347.0947,5579.373,29210.568,80.29588,1707.8365,76.97245,0.0,6281.474,0.0
2022-01-01 20:00:00,2347.0947,5579.373,29210.568,83.397095,1707.8365,78.50838,0.0,5155.1514,0.0
2022-01-01 21:00:00,2347.0947,5579.373,29210.568,79.49506,1707.8365,76.696915,0.0,4837.19,0.0
2022-01-01 22:00:00,2347.0947,5579.373,29210.568,370.74905,1707.8365,682.1774,244.12024,4881.0435,3724.4114
2022-01-01 23:00:00,2347.0947,5579.373,29210.568,397.45865,1707.8365,714.0427,3421.7932,6580.0405,9819.249
2022-01-02 00:00:00,2347.0947,5579.373,29210.568,397.45865,1707.8365,703.42096,2872.1182,4979.3677,5341.2285
2022-01-02 01:00:00,2347.0947,5579.373,29210.568,76.94354,1707.8365,76.73643,0.0,5054.3022,0.0
2022-01-02 02:00:00,2347.0947,5579.373,29210.568,76.94354,1707.8365,76.73643,0.0,6219.4634,0.0
2022-01-02 03:00:00,2347.0947,5579.373,29210.568,76.94354,1707.8365,76.73643,0.0,5282.782,0.0
2022-01-02 04:00:00,2347.0947,5579.373,29210.568,594.83966,1707.8365,761.3349,13141.585,6001.1406,18799.867
2022-01-02 05:00:00,2347.0947,5579.373,29210.568,1093.1373,1707.8365,1114.5769,25580.092,4921.557,36670.152
2022-01-02 06:00:00,2347.0947,5579.373,29210.568,602.4462,4208.151,842.31586,17652.07,80062.086,26247.658
2022-01-02 07:00:00,2347.0947,5579.373,29210.568,412.79016,7407.342,1282.2422,7246.0874,124722.26,14493.578
2022-01-02 08:00:00,2347.0947,5579.373,29210.568,392.11673,2501.4485,712.79974,675.3939,67966.38,3961.2852
2022-01-02 09:00:00,2347.0947,5579.373,29210.568,197.83496,1837.5562,791.50214,0.0,46021.645,1130.2051
2022-01-02 10:00:00,2347.0947,5579.373,29210.568,76.75536,1711.4746,712.53613,0.0,36050.062,2820.6912
2022-01-02 11:00:00,2347.0947,5579.373,29210.568,90.23962,1707.8365,835.6738,0.0,26794.69,3122.6072
2022-01-02 12:00:00,2347.0947,5579.373,29210.568,94.43705,1707.8365,77.61471,0.0,22366.451,0.0
2022-01-02 13:00:00,2347.0947,5579.373,29210.568,109.00457,1707.8365,78.5548,0.0,18660.088,0.0
2022-01-02 14:00:00,2347.0947,5579.373,29210.568,83.55213,1707.8365,76.4932,0.0,14100.622,0.0
2022-01-02 15:00:00,2347.0947,5579.373,29210.568,76.720406,1707.8365,659.08203,0.0,12730.534,214.14093
2022-01-02 16:00:00,2347.0947,5579.373,29210.568,76.94354,1707.8365,714.0427,0.0,12462.421,386.81998
2022-01-02 17:00:00,2347.0947,5579.373,29210.568,177.53845,1707.8365,1697.4396,0.0,14994.323,81.19381
2022-01-02 18:00:00,2347.0947,5579.373,29210.568,96.083954,1707.8365,77.70073,0.0,24722.797,0.0
2022-01-02 19:00:00,2347.0947,5579.373,29210.568,110.22695,1707.8365,86.36446,0.0,14865.844,0.0
2022-01-02 20:00:00,2347.0947,5579.373,29210.568,102.59663,76.912926,87.59893,0.0,0.0,0.0
2022-01-02 21:00:00,2347.0947,5579.373,29210.568,87.692085,76.912926,78.36677,0.0,0.0,0.0
2022-01-02 22:00:00,2347.0947,5579.373,29210.568,76.6844,76.912926,659.4217,0.0,0.0,169.06268
2022-01-02 23:00:00,2347.0947,5579.373,29210.568,370.74905,76.912926,714.0427,1441.0952,0.0,5162.913
2022-01-03 00:00:00,2347.0947,5579.373,29210.568,397.45865,76.912926,714.0427,2190.2092,0.0,4940.6504
2022-01-03 01:00:00,2347.0947,5579.373,29210.568,76.94354,76.912926,650.3121,0.0,0.0,36.87462
2022-01-03 02:00:00,2347.0947,5579.373,29210.568,76.94354,76.912926,76.73643,0.0,0.0,0.0
2022-01-03 03:00:00,2347.0947,5579.373,29210.568,76.94354,1300.1057,76.73643,0.0,54.82088,0.0
